manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
2.00E+12,13009691,[i]Care M MBP 14 一年期_5090,Care,iCPP,[i]Care M1-M3 MBP 14 一年期_5090,0
2.00E+12,13009692,[i]Care M MBP 16 一年期_6990,Care,iCPP,[i]Care M1-M3 MBP 16 一年期_6990,0
2.00E+12,13009694,[i]Care M MBP 14 三年期_8758,Care,iCPP,[i]Care M1-M3 MBP 14 三年期_8758,0
2.00E+12,13009695,[i]Care M MBP 16 三年期_12717,Care,iCPP,[i]Care M2-M3 MBP 16 三年期_12717,0
MGN03TA/A,13015730,12W USB Power Adapter MGN03,Accy,#Power Adapter,USB-A,590
MG3W3FE/A,13016500,44 N 運動錶帶 灰霧綠 MG3W3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
MG433FE/A,13016515,44mm 運動錶帶 賽勒綠 MG433,Accy,*Apple Watch Accy,Band 44mm Sport,1600
MGX43FE/A,13016533,44mm 運動錶環 木炭L MGX43,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MY622FE/A,13016538,40mm 時尚錶帶 粉橘色L MY622,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY642FE/A,13016540,40mm 時尚錶帶 石榴色M MY642,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY652FE/A,13016541,40mm 時尚錶帶 石榴色L MY652,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY662FE/A,13016542,40mm 時尚錶帶 緋紅色S MY662,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY672FE/A,13016543,40mm 時尚錶帶 緋紅色M MY672,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY682FE/A,13016544,40mm 時尚錶帶 緋紅色L MY682,Accy,*Apple Watch Accy,Band 40mm Modern Buckle,4600
MY962FE/A,13016545,40mm 鏈紋錶帶 馬鞍棕S MY962,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY982FE/A,13016547,40mm 鏈紋錶帶 波羅藍S MY982,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY992FE/A,13016548,40mm 鏈紋錶帶 波羅藍L MY992,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY9A2FE/A,13016549,40mm 鏈紋錶帶 黑S MY9A2,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY9E2FE/A,13016552,40mm 鏈紋錶帶 罌粟色L MY9E2,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY9M2FE/A,13016557,44mm 鏈紋錶帶 黑S MY9M2,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MY9N2FE/A,13016558,44mm 鏈紋錶帶 黑L MY9N2,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MGYV3FE/A,13016577,iPad Mini Cover 賽勒綠 MGYV3,Accy,iPad Case,iPad Mini Cover,1190
MGYW3FE/A,13016578,iPad Mini Cover 粉橘色 MGYW3,Accy,iPad Case,iPad Mini Cover,1190
MH0A3FE/A,13016588,iPad Air 10.9 Case 白 MH0A3,Accy,iPad Case,iPad Air 10.9,2590
MH0D3FE/A,13016589,iPad Air 10.9 Case 黑 MH0D3,Accy,iPad Case,iPad Air 10.9,2590
S8622ZX/A,13016592,AC+ for iPad Air 4 S8622,Care,ACPP+,iPad Air 4 ACPP+,2190
S8406ZX/A,13016593,AC+ for iPhone 11 S8406,Care,ACPP+,iPhone 11 ACPP+,4890
S8408ZX/A,13016594,AC+ for iPhone 11 Pro S8408,Care,ACPP+,iPhone 11 Pro ACPP+,6390
S8410ZX/A,13016595,AC+ for iPhone 11 PM S8410,Care,ACPP+,iPhone 11 PM ACPP+,6390
S8424ZX/A,13016596,AC+ for iPhone SE 2 S8424,Care,ACPP+,iPhone SE 2 ACPP+,2590
S8426ZX/A,13016597,AC+ for iPhone X S8426,Care,ACPP+,iPhone X ACPP+,6390
S8428ZX/A,13016598,AC+ for iPhone XR S8428,Care,ACPP+,iPhone XR ACPP+,4890
S8430ZX/A,13016599,AC+ for iPhone XS S8430,Care,ACPP+,iPhone XS ACPP+,6390
S8432ZX/A,13016600,AC+ for iPhone XSM S8432,Care,ACPP+,iPhone XSM ACPP+,6390
S8646ZX/A,13016601,AC+ for AW SE S8646,Care,ACPP+,AW SE ACPP+,1690
S8647ZX/A,13016602,AC+ for AW Nike SE S8647,Care,ACPP+,AW Nike SE ACPP+,1690
S8678ZX/A,13016603,AC+ for AW S6 S8678,Care,ACPP+,AW S6 ACPP+,2590
S8679ZX/A,13016604,AC+ for AW Nike S6 S8679,Care,ACPP+,AW Nike S6 ACPP+,2590
S8717ZX/A,13016605,AC+ for AW S6 不鏽鋼 S8717,Care,ACPP+,AW S6 不鏽鋼 ACPP+,2590
S8718ZX/A,13016606,AC+ for AW S6 鈦金屬 S8718,Care,ACPP+,AW Edition S6 鈦金屬 ACPP+,4790
2.00E+12,13016614,[i]Care AW SE 一年期_1290,Care,iCPP,[i]Care AW SE 一年期_1290,0
2.00E+12,13016615,[i]Care AW SE 兩年期_1645,Care,iCPP,[i]Care AW SE 兩年期_1645,0
MHLP3FE/A,13016723,MagSafe 皮革卡套 罌粟 MHLP3,Accy,*iPhone Accy,MagSafe,1790
MHLQ3FE/A,13016724,MagSafe 皮革卡套 海藍 MHLQ3,Accy,*iPhone Accy,MagSafe,1790
MHLR3FE/A,13016725,MagSafe 皮革卡套 棕 MHLR3,Accy,*iPhone Accy,MagSafe,1790
MHLT3FE/A,13016726,MagSafe 皮革卡套 黑 MHLT3,Accy,*iPhone Accy,MagSafe,1790
MYMC2ZP/A,13016755,Beats Flex 入耳 黑紅 MYMC2,Audio,Beats,Beats Flex,2390
MYMD2ZP/A,13016756,Beats Flex 入耳 柚黃 MYMD2,Audio,Beats,Beats Flex,2390
MY5G2TA/A,13016757,HomePod mini 灰 MY5G2,Audio,HomePod,HomePod mini 灰,3000
MY5H2TA/A,13016758,HomePod mini 白 MY5H2,Audio,HomePod,HomePod mini 白,3000
S8930ZX/A,13016806,AC+ for iPhone 12 mini S8930,Care,ACPP+,iPhone 12 mini ACPP+,4890
S8945ZX/A,13016807,AC+ for iPhone 12 S8945,Care,ACPP+,iPhone 12 ACPP+,4890
S8963ZX/A,13016808,AC+ for iPhone 12 Pro S8963,Care,ACPP+,iPhone 12 Pro ACPP+,6390
S8979ZX/A,13016809,AC+ for iPhone 12 PM S8979,Care,ACPP+,iPhone 12 PM ACPP+,6390
S9043ZX/A,13016810,AC+ for HomePod mini S9043,Care,ACPP+,HomePod mini ACPP+,500
MYME2ZP/A,13017766,Beats Flex 入耳 卡其灰 MYME2,Audio,Beats,Beats Flex,2390
MYMG2ZP/A,13017767,Beats Flex 入耳 冷豔藍 MYMG2,Audio,Beats,Beats Flex,2390
MXK22FE/A,13017768,Lightning to 3.5mm 線 MXK22,Accy,EarPhone,3.5mm,1190
S9086ZX/A,13017822,AC+ for AirPods Max S9086,Care,ACPP+,AirPods ACPP+,1990
S9066ZX/A,13017823,AC+ for AirPods S9066,Care,ACPP+,AirPods ACPP+,990
S9078ZX/A,13017824,AC+ for AirPods Pro 2 S9078,Care,ACPP+,AirPods ACPP+,990
S9094ZX/A,13017825,AC+ for Beats S9094,Care,ACPP+,Beats ACPP+,990
2.00E+12,13017948,[i]Care AirPods Max 一年_1290,Care,iCPP,[i]Care AirPods Max 一年期_1290,0
2.00E+12,13017949,[i]Care AirPods Max 兩年_1700,Care,iCPP,[i]Care AirPods Max 兩年期_1700,0
MY592TA/A,13017952,Beats Powerbeats Pro 海軍藍 MY592,Audio,Beats,Powerbeats Pro,8590
2.00E+12,13018091,[i]Care iPhone SE 續保_1690,Care,iCPP,[i]Care iPhone SE 續保一年期_1690,0
2.00E+12,13018092,[i]Care iPhone 續保_3290,Care,iCPP,[i]Care iPhone 12/13/13m/14 續保一年期_3290,0
2.00E+12,13018093,[i]Care iPhone 續保_4390,Care,iCPP,[i]Care iPhone XS-14PM 續保一年期_4390,0
2.00E+12,13018094,[i]Care iPad M/A 續保_1590,Care,iCPP,[i]Care iPad Mini/Air 續保一年期_1590,0
2.00E+12,13018095,[i]Care iPad Pro 續保_2590,Care,iCPP,[i]Care iPad Pro 續保一年期_2590,0
2.00E+12,13018096,[i]Care AW SE 續保_1290,Care,iCPP,[i]Care AW SE 續保一年期_1290,0
2.00E+12,13018097,[i]Care AW S7/S8 續保_1690,Care,iCPP,[i]Care AW S7/S8 續保一年期_1690,0
2.00E+12,13018098,[i]Care AirPods 續保_790,Care,iCPP,[i]Care AirPods 2/3/Pro 續保一年期_790,0
2.00E+12,13018099,[i]Care AirPods Max 續保_1290,Care,iCPP,[i]Care AirPods Max 續保一年期_1290,0
2.00E+12,13018100,[i]Care MBA 續保_4350,Care,iCPP,[i]Care MBA 續保一年期_4350,0
2.00E+12,13018101,[i]Care MBP 13/14 續保_5090,Care,iCPP,[i]Care MBP 13/14 續保一年期_5090,0
2.00E+12,13018102,[i]Care MBP 15/16 續保_6990,Care,iCPP,[i]Care MBP 15/16 續保一年期_6990,0
MK0E3FE/A,13018201,MagSafe 皮革卡套 桑紅 MK0E3,Accy,*iPhone Accy,MagSafe,1790
MX532FE/A,13018202,AirTag 一入 MX532,Accy,*iPhone Accy,AirTag 一入,990
MX542FE/A,13018203,AirTag 四入 MX542,Accy,*iPhone Accy,AirTag 四入,3390
MHJ23FE/A,13018208,AirTag 鑰匙圈 海藍 MHJ23,Accy,*iPhone Accy,AirTag Accy,1290
MK103FE/A,13018209,AirTag 鑰匙圈 紅 MK103,Accy,*iPhone Accy,AirTag Accy,1290
MK0V3FE/A,13018211,AirTag 皮掛環 紅 MK0V3,Accy,*iPhone Accy,AirTag Accy,1390
MJ6G3FE/A,13018215,40 N 運動錶帶 暗綠銀 MJ6G3,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MJ6H3FE/A,13018216,40 N 運動錶帶 藍光綠 MJ6H3,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MJ6J3FE/A,13018217,40 N 運動錶帶 鐵灰黑 MJ6J3,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MJ6K3FE/A,13018218,44 N 運動錶帶 暗綠銀 MJ6K3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
MJ6L3FE/A,13018219,44 N 運動錶帶 藍光綠 MJ6L3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
MJ6M3FE/A,13018220,44 N 運動錶帶 鐵灰黑 MJ6M3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
MJFR3FE/A,13018221,40mm 運動錶環 海鹽 MJFR3,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MJFT3FE/A,13018222,40mm 運動錶環 向日葵 MJFT3,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MJFU3FE/A,13018223,40mm 運動錶環 橄欖 MJFU3,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MJFV3FE/A,13018224,40mm 運動錶環 深淵藍 MJFV3,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MJFW3FE/A,13018225,40mm 運動錶環 紅 MJFW3,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MJFY3FE/A,13018226,44mm 運動錶環 海鹽 MJFY3,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MJG03FE/A,13018227,44mm 運動錶環 向日葵 MJG03,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MJG13FE/A,13018228,44mm 運動錶環 橄欖 MJG13,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MJG23FE/A,13018229,44mm 運動錶環 深淵藍 MJG23,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MJG33FE/A,13018230,44mm 運動錶環 紅 MJG33,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MJK23FE/A,13018231,40mm 運動錶帶 卡布藍 MJK23,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MJK33FE/A,13018232,40mm 運動錶帶 哈密瓜 MJK33,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MJK43FE/A,13018233,40mm 運動錶帶 綠頭鴨 MJK43,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MJK53FE/A,13018234,44mm 運動錶帶 卡布藍 MJK53,Accy,*Apple Watch Accy,Band 44mm Sport,1600
MJK63FE/A,13018235,44mm 運動錶帶 哈密瓜 MJK63,Accy,*Apple Watch Accy,Band 44mm Sport,1600
MJK73FE/A,13018236,44mm 運動錶帶 綠頭鴨 MJK73,Accy,*Apple Watch Accy,Band 44mm Sport,1600
MJKD3FE/A,13018237,40mm 鏈紋錶帶 粉筆白S MJKD3,Accy,*Apple Watch Accy,Band 40mm Leather Link,3100
MJKE3FE/A,13018238,40mm 鏈紋錶帶 粉筆白L MJKE3,Accy,*Apple Watch Accy,Band 40mm Leather Link,3100
MJKR3FE/A,13018239,44mm 鏈紋錶帶 粉筆白S MJKR3,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MJKT3FE/A,13018240,44mm 鏈紋錶帶 粉筆白L MJKT3,Accy,*Apple Watch Accy,Band 44mm Leather Link,3100
MJM43FE/A,13018306,iPad Mini Cover 綠頭鴨 MJM43,Accy,iPad Case,iPad Mini Cover,1190
MJM63FE/A,13018307,iPad Mini Cover 電光橙 MJM63,Accy,iPad Case,iPad Mini Cover,1190
MJM23FE/A,13018309,iPad Air 4 Case 電光橙 MJM23,Accy,iPad Case,iPad Air 10.9,2590
S9634ZX/A,13018326,AC+ for Apple TV S9634,Care,ACPP+,Apple TV ACPP+,720
S8402ZX/A,13018327,AC+ for iPad Pro 10.5 S8402,Care,ACPP+,iPad Pro 10.5 ACPP+,4290
S8403ZX/A,13018328,AC+ for iPad Pro 11 S8403,Care,ACPP+,iPad Pro 11 ACPP+,4290
S8404ZX/A,13018329,AC+ for iPad Pro 12.9 4 S8404,Care,ACPP+,iPad Pro 12.9 EOL ACPP+,4300
S9865ZX/A,13018330,AC+ for iPad Pro 12.9 5 S9865,Care,ACPP+,iPad Pro 12.9 5th ACPP+,4890
S9688ZX/A,13018331,AC+ for iMac S9688,Care,ACPP+,iMac ACPP+,5290
MJWN3FE/A,13018382,40 N 運動錶環 彩虹 MJWN3,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MJWP3FE/A,13018383,44 N 運動錶環 彩虹 MJWP3,Accy,*Apple Watch Accy,Band 44mm Nike Sport,1600
S9703ZX/A,13018530,AC+ for Mac mini S9703,Care,ACPP+,Mac mini ACPP+,2990
S9718ZX/A,13018531,AC+ for Mac Pro S9718,Care,ACPP+,Mac Pro ACPP+,10990
S9788ZX/A,13018532,AC+ for MBA M1 S9788,Care,ACPP+,13 MacBook Air ACPP+,5490
S9764ZX/A,13018533,AC+ for MBP 13 Intel S9764,Care,ACPP+,13 MacBook Pro ACPP+,9590
S9736ZX/A,13018534,AC+ for MBP 13 M1 S9736,Care,ACPP+,13 MacBook Pro ACPP+,7490
S9775ZX/A,13018536,AC+ for MBP 16 Intel S9775,Care,ACPP+,16 MacBook Pro ACPP+,12990
S9742ZX/A,13018537,AC+ for Pro Display S9742,Care,ACPP+,Display ACPP+,14990
2.00E+12,13018598,[i]Care MBA 三年期_5382,Care,iCPP,[i]Care M1/M2 MBA 三年期_5382,0
2.00E+12,13018599,[i]Care M MBP 13 三年期_7490,Care,iCPP,[i]Care M1/M2 MBP 三年期_7490,0
MLYX3FE/A,13018627,AirTag 掛環 卡布藍 MLYX3,Accy,*iPhone Accy,AirTag Accy,990
MM003FE/A,13018629,AirTag 皮掛環 檸檬 MM003,Accy,*iPhone Accy,AirTag Accy,1390
MM043FE/A,13018632,AirTag 皮掛環 海藍 MM043,Accy,*iPhone Accy,AirTag Accy,1390
MM063FE/A,13018633,AirTag 鑰匙圈 檸檬 MM063,Accy,*iPhone Accy,AirTag Accy,1290
MJ4X3TA/A,13018642,Beats Studio Buds 無線黑 MJ4X3,Audio,Beats,Studio Buds,4990
MJ4Y3TA/A,13018643,Beats Studio Buds 無線白 MJ4Y3,Audio,Beats,Studio Buds,4990
MJ503TA/A,13018644,Beats Studio Buds 無線紅 MJ503,Audio,Beats,Studio Buds,4990
MM0Q3FE/A,13018911,MagSafe 皮革卡套 金棕 MM0Q3,Accy,*iPhone Accy,MagSafe,1790
MM0T3FE/A,13018912,MagSafe 皮革卡套 櫻桃 MM0T3,Accy,*iPhone Accy,MagSafe,1790
MM0W3FE/A,13018913,MagSafe 皮革卡套 紫藤 MM0W3,Accy,*iPhone Accy,MagSafe,1790
MM0X3FE/A,13018914,MagSafe 皮革卡套 杉綠 MM0X3,Accy,*iPhone Accy,MagSafe,1790
MMFA3FE/A,13018917,AirTag 鑰匙圈 金棕 MMFA3,Accy,*iPhone Accy,AirTag Accy,1290
MMFC3FE/A,13018918,AirTag 鑰匙圈 紫藤 MMFC3,Accy,*iPhone Accy,AirTag Accy,1290
SCMP2ZX/A,13019020,AC+ for iPhone 13 mini SCMP2,Care,ACPP+,iPhone 13 mini ACPP+,4890
SCMQ2ZX/A,13019021,AC+ for iPhone 13 SCMQ2,Care,ACPP+,iPhone 13 ACPP+,4890
SCMR2ZX/A,13019022,AC+ for iPhone 13P SCMR2,Care,ACPP+,iPhone 13 Pro ACPP+,6390
SCMT2ZX/A,13019023,AC+ for iPhone 13PM SCMT2,Care,ACPP+,iPhone 13 PM ACPP+,6390
SCLH2ZX/A,13019024,AC+ for iPad mini 6 SCLH2,Care,ACPP+,iPad/iPad Mini ACPP+,2190
SCM32ZX/A,13019025,AC+ for iPad 9 SCM32,Care,ACPP+,iPad/iPad Mini ACPP+,2190
MM6G3FE/A,13019026,iPad Mini 6th Case 黑 MM6G3,Accy,iPad Case,iPad Mini,1940
MM6H3FE/A,13019027,iPad Mini 6th Case 白 MM6H3,Accy,iPad Case,iPad Mini,1940
MM6J3FE/A,13019028,iPad Mini 6th Case 橙 MM6J3,Accy,iPad Case,iPad Mini,1940
MM6K3FE/A,13019029,iPad Mini 6th Case 櫻桃 MM6K3,Accy,iPad Case,iPad Mini,1940
MM6L3FE/A,13019030,iPad Mini 6th Case 薰衣 MM6L3,Accy,iPad Case,iPad Mini,1940
MM6N3FE/A,13019032,iPad Pro 11 Case 薰衣草 MM6N3,Accy,iPad Case,iPad Pro 11,2590
MM6P3FE/A,13019033,iPad Pro 12.9 Case 薰衣草 MM6P3,Accy,iPad Case,iPad Pro 12.9,3290
2.00E+12,13019907,[i]Care iPhone SE 意外保_1080,Care,iCPP,[i]Care iPhone SE 意外保_1080,0
2.00E+12,13019908,[i]Care iPhone 7/8 意外保_1480,Care,iCPP,[i]Care iPhone 7/8 意外保_1480,0
2.00E+12,13019909,[i]Care iPhone 意外保_1880,Care,iCPP,[i]Care iPhone 7+~13m 意外保_1880,0
2.00E+12,13019910,[i]Care iPhone 意外保_2480,Care,iCPP,[i]Care iPhone XS~13PM 意外保_2480,0
SCCU2ZX/A,13020011,AC+ for AW S7 SCCU2,Care,ACPP+,AW S7 ACPP+,2590
SCCV2ZX/A,13020012,AC+ for AW Nike S7 SCCV2,Care,ACPP+,AW Nike S7 ACPP+,2590
SCCW2ZX/A,13020013,AC+ for AW S7 不鏽鋼 SCCW2,Care,ACPP+,AW S7 不鏽鋼 ACPP+,2590
SCCX2ZX/A,13020014,AC+ for AW S7 鈦金屬 SCCX2,Care,ACPP+,AW Edition S7 鈦金屬 ACPP+,4790
SCCY2ZX/A,13020015,AC+ for AW S7 Hermes SCCY2,Care,ACPP+,AW Hermes S7 ACPP+,4790
MJ2C3TA/A,13020088,HomePod mini 藍 MJ2C3,Audio,HomePod,HomePod mini 藍,3000
MJ2D3TA/A,13020089,HomePod mini 橘 MJ2D3,Audio,HomePod,HomePod mini 橘,3000
MJ2E3TA/A,13020090,HomePod mini 黃 MJ2E3,Audio,HomePod,HomePod mini 黃,3000
SCPG2ZX/A,13020459,AC+ for MBP 14 M1 SCPG2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SDYP2ZX/A,13020460,AC+ for MBP 16 M1 SDYP2,Care,ACPP+,16 MacBook Pro ACPP+,12990
MK2F3TA/A,13020605,Beats Fit Pro 黑 MK2F3,Audio,Beats,Fit Pro,6990
MK2G3TA/A,13020606,Beats Fit Pro 白 MK2G3,Audio,Beats,Fit Pro,6990
MK2H3TA/A,13020607,Beats Fit Pro 紫 MK2H3,Audio,Beats,Fit Pro,6990
MK2J3TA/A,13020608,Beats Fit Pro 灰 MK2J3,Audio,Beats,Fit Pro,6990
SEJD2ZX/A,13020820,AC+ for iPad Air 5 SEJD2,Care,ACPP+,iPad Air 5 ACPP+,2590
SEH92ZX/A,13020821,AC+ for iPhone SE 3 SEH92,Care,ACPP+,iPhone SE 3 ACPP+,2590
SELQ2ZX/A,13020822,AC+ for Mac Studio SELQ2,Care,ACPP+,Mac Studio ACPP+,5290
SEL02ZX/A,13020823,AC+ for Studio Display SEL02,Care,ACPP+,Studio Display ACPP+,4290
MNA43FE/A,13020824,iPad Air 5 Case 暗櫻桃 MNA43,Accy,iPad Case,iPad Air 10.9,2590
MNA63FE/A,13020825,iPad Air 5 Case 薰衣草 MNA63,Accy,iPad Case,iPad Air 10.9,2590
MNA73FE/A,13020826,iPad Air 5 Case 海藍 MNA73,Accy,iPad Case,iPad Air 10.9,2590
2.00E+12,13020921,[i]Care iPad Air 5 一年期_1890,Care,iCPP,[i]Care iPad Air 5 一年期_1890,0
